source,name,disposition,flag_confirmed,planet_class,ra,dec,pl_rade,pl_masse,pl_density,pl_orbper,pl_insol,pl_eqt,st_teff,st_logg,st_rad,stellar_flux_proxy,distance_pc,mag
TESS,TOI-6736.01,CANDIDATE,0,Neptune+,2756539060.0,-414764410.0,25010000.0,32384712.710902765,1.1413197905852784e-14,29879341.0,140880000000.0,116667000.0,133991000.0,5315460000.0,53150000000.0,9.105610123971002e+53,12020000000.0,3466830000.0
TESS,TOI-6737.01,CANDIDATE,0,Neptune+,2554586520.0,-568159040.0,29790000.0,37773049.0697587,7.877327609641362e-15,28475582.0,129740000000.0,162689000.0,130057000.0,8136850000.0,63720000000.0,1.1616798658332762e+54,17950000000.0,17245100000.0
TESS,TOI-6738.01,CANDIDATE,0,Neptune+,2752797810.0,-454698510.0,43830000.0,53058979.667484045,3.4741843268647646e-15,36234424.0,33320000000.0,91301800.0,120409000.0,6847770000.0,58150000000.0,7.107800611659619e+53,16800000000.0,13232300000.0
TESS,TOI-6739.01,CANDIDATE,0,Neptune+,2781457920.0,-447177060.0,14290000.0,19789205.632135913,3.738867283072185e-14,46588405.0,128450000000.0,100709000.0,125258000.0,2520740000.0,47680000000.0,5.596214926897472e+53,6880000000.0,372212000.0
TESS,TOI-674.01,CONFIRMED,1,Neptune+,1645865590.0,-368581090.0,11104153.0,15849924.020107688,6.382329882941636e-14,19771658.0,138773059698.0,52706003.0,118764000.0,460851000.0,34670000000.0,2.391370946498867e+53,6442865637.0,407227689.0
TESS,TOI-6740.01,CANDIDATE,0,Neptune+,2584105620.0,-557294050.0,35420000.0,43988457.17237684,5.457596631030755e-15,33505941.0,89730000000.0,114279000.0,133912000.0,7782770000.0,55790000000.0,1.0009000437841363e+54,14450000000.0,7239550000.0
TESS,TOI-6741.01,FALSE POSITIVE,0,Neptune+,2304124080.0,-672065460.0,35210000.0,43758870.355061576,5.526833754818432e-15,50061978.0,64380000000.0,124847000.0,127920000.0,9015170000.0,67130000000.0,1.206666059600056e+54,16350000000.0,11887100000.0
TESS,TOI-6742.01,CANDIDATE,0,Neptune+,2677309830.0,-616143930.0,47970000.0,57445147.9431991,2.8691454909269712e-15,81678648.0,40970000000.0,107664000.0,132152000.0,10382600000.0,58590000000.0,1.0469886090242368e+54,11570000000.0,2979770000.0
TESS,TOI-6743.01,CANDIDATE,0,Neptune+,2428172200.0,-670003060.0,57320000.0,67190742.4341872,1.966976943537965e-15,59097139.0,84200000000.0,187334000.0,122914000.0,9977680000.0,65080000000.0,9.667195407097608e+53,15900000000.0,10614200000.0
TESS,TOI-6744.01,CANDIDATE,0,Neptune+,2774120030.0,-622018060.0,14570000.0,20130029.232181035,3.588179203351983e-14,0.8674623,55470000000.0,128076000.0,132719000.0,11720400000.0,64700000000.0,1.2987960654421342e+54,21310000000.0,34240900000.0
TESS,TOI-6745.01,CANDIDATE,0,Neptune+,2551056010.0,-696178720.0,51170000.0,60804198.33297044,2.5020483079778616e-15,52452852.0,55680000000.0,119863000.0,129951000.0,10493700000.0,59280000000.0,1.00215499000876e+54,14780000000.0,7933040000.0
TESS,TOI-6746.01,CANDIDATE,0,Neptune+,2606937230.0,-568176090.0,10280000.0,14809961.887734417,7.515934236586262e-14,12030600.0,149330000000.0,128325000.0,132738000.0,2982090000.0,42040000000.0,5.486640356658651e+53,10430000000.0,1965910000.0
TESS,TOI-6747.01,CANDIDATE,0,Earth-like,2730293270.0,-728773470.0,0.733,0.3168726137448476,4.435893969776693,0.7025922,17400000000.0,54983800.0,122566000.0,4766930000.0,58750000000.0,7.789252701119034e+53,15670000000.0,10034600000.0
TESS,TOI-6748.01,CANDIDATE,0,Neptune+,2525680790.0,-560838380.0,31850000.0,40062339.25088077,6.8362253240392174e-15,45932835.0,74170000000.0,119834000.0,131351000.0,8245280000.0,59880000000.0,1.067326069798617e+54,12610000000.0,4208550000.0
TESS,TOI-6749.01,CANDIDATE,0,Neptune+,2368919540.0,-675066470.0,41550000.0,50622373.61057364,3.890790034907782e-15,86121286.0,47770000000.0,120872000.0,120574000.0,10364800000.0,79290000000.0,1.3287751897190138e+54,13900000000.0,6202450000.0
TESS,TOI-675.01,CONFIRMED,1,Neptune+,1605587650.0,-38349990.0,43176109.0,52361765.48732142,3.586676038633408e-15,41780637.0,114781087015.0,146952606.0,96295900.0,1595070000.0,56200000000.0,2.7158377282395075e+53,13137370400.0,7039710193.0
TESS,TOI-6750.01,FALSE POSITIVE,0,Neptune+,2440213700.0,-600380090.0,25240000.0,32646650.395066757,1.1193836296104059e-14,25950111.0,288700000000.0,108614000.0,144757000.0,3174950000.0,38750000000.0,6.593282889471631e+53,9430000000.0,1318250000.0
TESS,TOI-6751.01,CANDIDATE,0,Neptune+,2573814180.0,-474034340.0,33630000.0,42026153.57710153,6.09182495710552e-15,29419791.0,144600000000.0,153905000.0,126752000.0,7227850000.0,72770000000.0,1.3668599946633483e+54,19280000000.0,22952600000.0
TESS,TOI-6752.01,CANDIDATE,0,Neptune+,2730346010.0,-442434040.0,40250000.0,49225935.525779806,4.162025137769214e-15,113648628.0,41130000000.0,93084600.0,111938000.0,3847580000.0,61280000000.0,5.895867102121951e+53,9590000000.0,1409250000.0
TESS,TOI-6753.01,CANDIDATE,0,Neptune+,2552257240.0,-705301500.0,23530000.0,30692148.860657543,1.2988825698439223e-14,10169814.0,79760000000.0,121981000.0,132441000.0,8028630000.0,56160000000.0,9.703848403518398e+53,21530000000.0,35689100000.0
TESS,TOI-6754.01,CANDIDATE,0,Neptune+,2592904050.0,-487634150.0,33160000.0,41508857.436720684,6.2763273705866156e-15,19943104.0,103530000000.0,176537000.0,131408000.0,11669600000.0,72470000000.0,1.5660432233499584e+54,23460000000.0,50321900000.0
TESS,TOI-6755.01,CANDIDATE,0,Neptune+,2695859170.0,-517975590.0,27370000.0,35059185.45457542,9.427266926359859e-15,57585993.0,136360000000.0,112259000.0,130852000.0,4233440000.0,50900000000.0,7.595511481812316e+53,8590000000.0,907886000.0
TESS,TOI-6756.01,CANDIDATE,0,Neptune+,2784700620.0,-401685520.0,46720000.0,56125793.493758745,3.0343268928400285e-15,49354155.0,125540000000.0,166116000.0,134559000.0,12818200000.0,65000000000.0,1.3850891172232004e+54,15600000000.0,9856690000.0
TESS,TOI-6757.01,CANDIDATE,0,Neptune+,2756643750.0,-443798840.0,50250000.0,59841123.42747247,2.6001590506003277e-15,35193417.0,65220000000.0,144544000.0,133397000.0,8937800000.0,56200000000.0,1.0001309843405434e+54,23080000000.0,47167800000.0
TESS,TOI-6758.01,CANDIDATE,0,Neptune+,1862895010.0,-868875480.0,25330000.0,32749069.660680063,1.1109685687158625e-14,126136992.0,21720000000.0,25808200.0,117958000.0,729383000.0,37190000000.0,2.6777002448958802e+53,4400000000.0,62521000.0
TESS,TOI-6759.01,CANDIDATE,0,Neptune+,2740224520.0,-371531650.0,17580000.0,23747429.45678626,2.409729911719566e-14,13186780.0,118910000000.0,101378000.0,132337000.0,5845610000.0,57640000000.0,1.0189974217994359e+54,16710000000.0,12953400000.0
TESS,TOI-676.01,CANDIDATE,0,Neptune+,1712059760.0,-186172780.0,19774726.0,26337661.86196575,1.8778208997660832e-14,21503007.0,92608973045.0,141253056.0,134629000.0,7581990000.0,54300000000.0,9.686215765400255e+53,15016517354.0,12017050633.0
TESS,TOI-6760.01,CANDIDATE,0,Neptune+,2431653160.0,-673391000.0,27620000.0,35340837.19225879,9.24728377314418e-15,52820398.0,125320000000.0,98467300.0,131542000.0,5386000000.0,54150000000.0,8.779194782255421e+53,9770000000.0,1512870000.0
TESS,TOI-6761.01,CANDIDATE,0,Neptune+,2510151140.0,-477140090.0,44250000.0,53506147.450508565,3.4046481076600715e-15,43430254.0,111420000000.0,135998000.0,123837000.0,5906130000.0,65940000000.0,1.0225853714660151e+54,19020000000.0,21765500000.0
TESS,TOI-6762.01,CANDIDATE,0,Neptune+,2621879180.0,-579127990.0,17180000.0,23271285.826203972,2.5302257800453457e-14,51778752.0,298350000000.0,119282000.0,145665000.0,3256090000.0,35990000000.0,5.831557282849938e+53,4980000000.0,102294000.0
TESS,TOI-6763.01,CANDIDATE,0,Neptune+,2653236370.0,-491638990.0,28340000.0,36150296.56079934,8.756301383888422e-15,24519381.0,114460000000.0,173192000.0,132539000.0,12854300000.0,70850000000.0,1.549010876911935e+54,18690000000.0,20279700000.0
TESS,TOI-6764.01,FALSE POSITIVE,0,Neptune+,2657107220.0,-411790890.0,37850000.0,46633496.332621455,4.741422985772097e-15,28562935.0,225250000000.0,181559000.0,129573000.0,7247700000.0,63830000000.0,1.1484385051933474e+54,17940000000.0,17218400000.0
TESS,TOI-6765.01,CANDIDATE,0,Neptune+,2510370590.0,-589846340.0,16260000.0,22171040.55198367,2.8433663998206876e-14,27967251.0,57860000000.0,193726000.0,121662000.0,13242900000.0,75660000000.0,1.2541586564951222e+54,14450000000.0,7242580000.0
TESS,TOI-6766.01,CANDIDATE,0,Neptune+,2624078700.0,-765867900.0,29250000.0,37169846.360564366,8.18882385232969e-15,22104947.0,78930000000.0,136352000.0,126801000.0,5568220000.0,54210000000.0,7.597129489828805e+53,15440000000.0,9447650000.0
TESS,TOI-6767.01,CANDIDATE,0,Neptune+,2762900460.0,-439062570.0,14300000.0,19801391.615311246,3.733326517559788e-14,23519086.0,168080000000.0,180511000.0,128821000.0,7377760000.0,60260000000.0,1.000011326973395e+54,11460000000.0,2871890000.0
TESS,TOI-6768.01,FALSE POSITIVE,0,Neptune+,2761912360.0,-607845230.0,20490000.0,27174209.75737514,1.7415639354448873e-14,48741147.0,46130000000.0,148251000.0,124154000.0,9060070000.0,60850000000.0,8.797596313963257e+53,9920000000.0,1610700000.0
TESS,TOI-6769.01,CANDIDATE,0,Neptune+,2595955730.0,-629318140.0,41850000.0,50943878.606687635,3.8318984777296915e-15,56858804.0,108550000000.0,131930000.0,129760000.0,6732620000.0,54920000000.0,8.551147635654477e+53,11620000000.0,3032450000.0
TESS,TOI-677.01,CONFIRMED,1,Neptune+,1441193590.0,-504630930.0,22920000.0,29990855.869902447,1.3732619734546745e-14,112365977.0,94140000000.0,130203000.0,92714010.0,1418120000.0,64460000000.0,3.070167453403285e+53,6900000000.0,376345000.0
TESS,TOI-6770.01,CANDIDATE,0,Neptune+,2897210120.0,-642494990.0,26170000.0,33702900.321085654,1.0367271749224889e-14,146768874.0,151520000000.0,96525800.0,133300000.0,4070890000.0,52300000000.0,8.636225534618248e+53,5390000000.0,140749000.0
TESS,TOI-6771.01,CANDIDATE,0,Neptune+,2887375570.0,-427026040.0,35250000.0,43802613.8168491,5.513546444437434e-15,68552506.0,45400000000.0,117073000.0,115315000.0,6876710000.0,68470000000.0,8.289796491708941e+53,12380000000.0,3900890000.0
TESS,TOI-6772.01,CANDIDATE,0,Neptune+,3048207520.0,-649741690.0,37800000.0,46579281.36430161,4.754728889097294e-15,39405490.0,37000000000.0,77381200.0,123102000.0,5398190000.0,54930000000.0,6.92914474262479e+53,13590000000.0,5668910000.0
TESS,TOI-6773.01,CANDIDATE,0,Neptune+,3071134100.0,-459674400.0,33000000.0,41332556.40590078,6.3410156048935375e-15,32720560.0,77090000000.0,105823000.0,131360000.0,7823360000.0,56680000000.0,9.565600573014812e+53,14480000000.0,7298200000.0
TESS,TOI-6774.01,CANDIDATE,0,Neptune+,2957434040.0,-447597270.0,22750000.0,29795016.678909432,1.395107920629899e-14,45833112.0,49880000000.0,96295700.0,125912000.0,6279910000.0,58530000000.0,8.610443824473055e+53,10620000000.0,2117840000.0
TESS,TOI-6775.01,CANDIDATE,0,Neptune+,3065010730.0,-489204190.0,10350000.0,14898670.240791786,7.408577578710238e-14,0.5940157,40940000000.0,79118000.0,134902000.0,7728600000.0,56630000000.0,1.0621031008907686e+54,19220000000.0,22669400000.0
TESS,TOI-6776.01,CANDIDATE,0,Neptune+,3218147280.0,-687393640.0,10560000.0,15164365.658019492,7.09971422354065e-14,19519092.0,314130000000.0,104769000.0,141345000.0,1985520000.0,34980000000.0,4.883839813801893e+53,6330000000.0,267043000.0
TESS,TOI-6777.01,CANDIDATE,0,Neptune+,2905949590.0,-313832190.0,45020000.0,54324636.8449446,3.282379066937814e-15,33615701.0,69920000000.0,165271000.0,119656000.0,7303640000.0,62580000000.0,8.028030988468792e+53,17970000000.0,17346800000.0
TESS,TOI-6778.01,CANDIDATE,0,Neptune+,3009366710.0,-553678790.0,10900000.0,15593202.475834373,6.638411943862489e-14,39718475.0,54870000000.0,82962500.0,127488000.0,5912700000.0,60640000000.0,9.71394449337652e+53,8140000000.0,732270000.0
