"toi","tid","tfopwg_disp","rastr","ra","decstr","dec","st_pmra","st_pmdec","pl_tranmid","pl_orbper","pl_trandurh","pl_trandep","pl_rade","pl_insol","pl_eqt","st_tmag","st_dist","st_teff","st_logg","st_rad","toi_created","rowupdate"
"5058.01","277034534","PC","18h39m09.84s","2797909 820","-79d30m19.21s","-795053 350","-23000 000","-375000 000","24601093725 960","237123 919","58410 000","61600000 000","128901 000","1815820 000","","109425 000","2693510 000","61300000 000","","12900 000","06.01.2022 22:50","22.08.2024 10:08"
"5059.01","458027465","PC","16h41m38.04s","2504084 990","-41d35m03.98s","-415844 400","0.0280000","-358490 000","24593702585 320","87876 771","29350 000","206500000 000","115115 000","307909 000","6560000 000","118876 000","1566930 000","46760000 000","45400 000","0.7700000","06.01.2022 22:50","22.08.2024 10:08"
"506.01","274138511","FP","07h46m44.88s","1166870 200","+06d26m44.05s","64455 690","-70010 000","-303040 000","24584925000 010","27742 070","23935 650","6933898 890","25824 420","4442310 280","11709058 394","104215 000","2672920 000","52800000 000","44445 400","0.9450620","14.03.2019 21:38","08.12.2021 10:10"
"5060.01","16264917","PC","16h30m34.34s","2476430 850","-49d24m51.04s","-494141 770","-12470 000","-25000 000","24593731109 380","12695 326","22290 000","134100000 000","148016 000","178335000 000","32190000 000","134489 000","9415790 000","95610000 000","46800 000","11800 000","06.01.2022 22:50","12.09.2024 12:02"
"5061.01","214218272","PC","17h22m56.39s","2607349 400","-51d59m00.28s","-519834 120","-0.4670000","-65120 000","24593840872 400","33645 349","31400 000","70100000 000","118831 000","9783550 000","15580000 000","129971 000","7928680 000","64430000 000","43000 000","13400 000","06.01.2022 22:50","22.08.2024 10:08"
"5062.01","294768072","PC","17h50m36.47s","2676519 380","-71d17m11.82s","-712866 180","-17860 000","-143580 000","24593801395 050","62244 575","51740 000","15700000 000","83449 600","6396990 000","14010000 000","118105 000","6274100 000","56928000 000","38100 000","20800 000","06.01.2022 22:50","22.08.2024 10:08"
"5063.01","173979859","PC","17h12m57.41s","2582391 940","-59d22m01.89s","-593671 920","-49330 000","-82450 000","24593865317 270","36137 990","33230 000","94900000 000","154064 000","12768900 000","16650000 000","126019 000","8812460 000","69550000 000","42500 000","15400 000","06.01.2022 22:50","22.08.2024 10:08"
"5064.01","407127579","PC","15h37m24.45s","2343518 920","-82d29m07.22s","-824853 390","-70650 000","-25330 000","24600992962 270","35108 018","27910 000","9600000 000","54254 300","5614870 000","13560000 000","115939 000","4335500 000","58600000 000","40600 000","15900 000","06.01.2022 22:50","22.08.2024 10:08"
"5065.01","243244680","KP","09h06m17.81s","1365741 930","+19d24m07.41s","194020 570","454920 000","-417910 000","24595758518 730","194921 473","35680 000","17000000 000","55068 900","319085 000","6620000 000","96689 600","1816900 000","61280000 000","42300 000","13600 000","06.01.2022 23:39","01.02.2024 16:02"
"5066.01","56655478","PC","04h15m20.11s","638337 860","+27d03m43.93s","270622 030","-84780 000","-59720 000","24602316158 550","13454 079","12080 000","12260000 000","72254 500","36325900 000","21620000 000","103418 000","4023040 000","75094000 000","40700 000","20000 000","06.01.2022 23:39","06.12.2023 16:02"
"5067.01","117275513","KP","08h43m30.8s","1308783 480","+24d25m22.64s","244229 560","11800 000","-345940 000","24602769293 050","46886 342","26510 000","14690000 000","33607 100","1330830 000","9460000 000","117421 000","2018560 000","49540000 000","44700 000","0.8700000","06.01.2022 23:39","02.02.2024 10:08"
