"pl_name","hostname","default_flag","disposition","disp_refname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","soltype","pl_controv_flag","pl_refname","pl_orbper","pl_orbsmax","pl_rade","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_refname","st_spectype","st_teff","st_rad","st_mass","st_met","st_metratio","st_logg","sy_refname","rastr","ra","decstr","dec","sy_dist","sy_vmag","sy_kmag","sy_gaiamag","rowupdate","pl_pubdate","releasedate"
"BD+20 594 b","BD+20 594","0","CONFIRMED","Espinoza et al. 2016","1","1","Transit","2016","K2","Published Confirmed","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","4168864400 000","","235545 351","0.21013949","","","","","","","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","","5703.00","0.956122","0.963861","-0.0600","[Fe/H]","4380 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","03h34m36.27s","536511 231","+20d35m56.47s","205990 205","17946100 000","108490 000","93680 000","108644 000","25.04.2018","2018-03","15.02.2018"
"BD+20 594 b","BD+20 594","0","CONFIRMED","Espinoza et al. 2016","1","1","Transit","2016","K2","Published Confirmed","0","<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>","4168550000 000","0.2410000000","223000 000","0.19894727","1630000 000","0.05128528","Mass","0.000000","","546.00","0","<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>","G","5766.00","0.928000","0.961000","-0.1500","[Fe/H]","4500 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","03h34m36.27s","536511 231","+20d35m56.47s","205990 205","17946100 000","108490 000","93680 000","108644 000","25.04.2018","2016-10","28.07.2016"
"BD+20 594 b","BD+20 594","1","CONFIRMED","Espinoza et al. 2016","1","1","Transit","2016","K2","Published Confirmed","0","<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>","4168550000 000","","257807 000","0.23000000","2224810 000","0.07000000","Mass","0.000000","","","0","<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>","","5766.00","1080 000","1670 000","-0.1500","[Fe/H]","4500 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","03h34m36.27s","536511 231","+20d35m56.47s","205990 205","17946100 000","108490 000","93680 000","108644 000","25.04.2018","2017-03","26.04.2018"
"EPIC 201111557.01","EPIC 201111557","1","CANDIDATE","Livingston et al. 2018","1","0","Transit","2018","K2","Published Candidate","0","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","230183000 000","","112000 000","0.09990000","","","","","","1054.00","0","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","","4616.52","0.762602","0.730000","-0.0300","[M/H]","4536 790","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","12h15m23.10s","1838462 454","-06d16m05.98s","-62683 289","9717950 000","117270 000","92200 000","113995 000","02.08.2018","2018-08","02.08.2018"
"EPIC 201111557.01","EPIC 201111557","0","CANDIDATE","Livingston et al. 2018","1","0","Transit","2018","K2","Published Candidate","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","230236800 000","","131258 765","0.12000000","","","","","","","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","","4720.00","0.710995","","-0.0600","[Fe/H]","4500 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","12h15m23.10s","1838462 454","-06d16m05.98s","-62683 289","9717950 000","117270 000","92200 000","113995 000","15.02.2018","2018-03","15.02.2018"
"EPIC 201126503.01","EPIC 201126503","1","CANDIDATE","Vanderburg et al. 2016","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","119474880 000","","419000 000","0.37380676","","","","","","","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","","3919.00","0.570000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h43m45.26s","1759385 954","-05d52m24.09s","-58733 592","29006200 000","192100 000","142300 000","178892 000","05.12.2015","2016-01","05.12.2015"
"EPIC 201127519.01","EPIC 201127519","0","CANDIDATE","Livingston et al. 2018","1","0","Transit","2018","K2","Published Candidate","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","617836900 000","","991257 877","0.88000000","","","","","","","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","","5015.00","0.789478","","0.2400","[Fe/H]","4670 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","12h05m29.23s","1813718 091","-05d50m53.79s","-58482 738","11770400 000","117330 000","94300 000","114806 000","15.02.2018","2018-03","15.02.2018"
"EPIC 201127519.01","EPIC 201127519","1","CANDIDATE","Livingston et al. 2018","1","0","Transit","2018","K2","Published Candidate","0","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","617887000 000","","884000 000","0.78900000","","","","","","772.00","0","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","","4719.28","0.849432","0.756000","0.2130","[M/H]","4458 330","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","12h05m29.23s","1813718 091","-05d50m53.79s","-58482 738","11770400 000","117330 000","94300 000","114806 000","02.08.2018","2018-08","02.08.2018"
"EPIC 201147085.01","EPIC 201147085","1","CANDIDATE","Kruse et al. 2019","1","0","Transit","2019","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","117589000 000","","0.86000000","0.07700000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.309000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h35m36.64s","1739026 640","-05d21m52.60s","-53646 120","16658440 000","166400 000","113970 000","","05.09.2019","2019-09","05.09.2019"
"EPIC 201152065.01","EPIC 201152065","1","CANDIDATE","Kruse et al. 2019","1","0","Transit","2019","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","1069660000 000","","145000 000","0.12900000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.588000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h32m10.39s","1730432 884","-05d14m49.80s","-52471 672","21229100 000","143460 000","114300 000","139562 000","05.09.2019","2019-09","05.09.2019"
"EPIC 201160662.01","EPIC 201160662","1","CANDIDATE","Kruse et al. 2019","1","0","Transit","2019","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","153741150 000","","4500000 000","400000 000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","1599 000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h39m59.48s","1749978 388","-05d02m25.63s","-50404 536","66623000 000","123820 000","107970 000","120464 000","05.09.2019","2019-09","05.09.2019"
"EPIC 201164625.01","EPIC 201164625","1","CANDIDATE","Livingston et al. 2018","1","0","Transit","2018","K2","Published Candidate","0","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","271189000 000","","434000 000","0.38700000","","","","","","2336.00","0","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","","6402.00","3167 450","1280 000","","","3543 860","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","12h06m22.49s","1815936 878","-04d56m48.14s","-49467 043","103242000 000","114610 000","107770 000","118357 000","02.08.2018","2018-08","02.08.2018"
"EPIC 201166680.01","K2-243","1","CANDIDATE","Mayo et al. 2018","1","2","Transit","2018","K2","Published Candidate","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","1810549000 000","","209985 108","0.19000000","","","","","","","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","","6213.00","1224 685","","0.1400","[Fe/H]","4320 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","12h04m29.07s","1811211 419","-04d53m56.89s","-48991 358","26686400 000","109710 000","95910 000","107424 000","15.02.2018","2018-03","15.02.2018"
"EPIC 201170410.02","EPIC 201170410","1","CONFIRMED","del Ser &amp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPIC 201176672.01","EPIC 201176672","1","CANDIDATE","Crossfield et al. 2016","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>","7999990000 000","","1020000 000","0.91000000","","","","","","","0","<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>","","4542.00","0.508000","","","","4747 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h16m35.97s","1691498 727","-04d39m23.19s","-46564 416","33346000 000","142580 000","116040 000","139651 000","18.07.2016","2016-09","18.07.2016"
"EPIC 201176672.02","EPIC 201176672","1","CANDIDATE","Kruse et al. 2019","1","0","Transit","2019","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","3000000 000","300000 000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.707000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h16m35.97s","1691498 727","-04d39m23.19s","-46564 416","33346000 000","142580 000","116040 000","139651 000","05.09.2019","2019-09","05.09.2019"
"EPIC 201180665.01","EPIC 201180665","1","CANDIDATE","Livingston et al. 2018","1","0","Transit","2018","K2","Published Candidate","0","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>","1777297000 000","","2644000 000","235900 000","","","","","","830.00","0","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","","5847.00","1254 280","1060 000","","","4266 590","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","12h16m40.73s","1841697 015","-04d33m37.42s","-45603 949","60126500 000","133270 000","116500 000","130873 000","02.08.2018","2018-08","02.08.2018"
"EPIC 201182911.01","EPIC 201182911","1","CANDIDATE","Vanderburg et al. 2016","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","0.99656225000","","3280000 000","292622 000","","","","","","","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","","3727.00","0.500000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h30m50.50s","1727104 166","-04d30m27.33s","-45075 924","33563200 000","162260 000","123350 000","154518 000","05.12.2015","2016-01","05.12.2015"
"EPIC 201197348.01","EPIC 201197348","0","CANDIDATE","Kruse et al. 2019","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","1491238100 000","","355000 000","0.31670979","","","","","","","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","","4224.00","0.650000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h48m22.77s","1770948 891","-04d09m51.86s","-41644 059","36010300 000","155370 000","124240 000","150437 000","05.12.2015","2016-01","05.12.2015"
"EPIC 201197348.01","EPIC 201197348","1","CANDIDATE","Kruse et al. 2019","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","1491390000 000","","324000 000","0.28900000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.647000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h48m22.77s","1770948 891","-04d09m51.86s","-41644 059","36010300 000","155370 000","124240 000","150437 000","05.09.2019","2019-09","05.09.2019"
"EPIC 201231940.01","EPIC 201231940","1","CANDIDATE","Vanderburg et al. 2016","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","0.57303573000","","335000 000","0.29886698","","","","","","","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","","3570.00","0.430000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h36m28.97s","1741207 146","-03d28m58.18s","-34828 286","113864000 000","187800 000","151550 000","180887 000","05.12.2015","2016-01","05.12.2015"
"EPIC 201238110 b","EPIC 201238110","1","CONFIRMED","Heller et al. 2019","1","1","Transit","2019","K2","Published Confirmed","0","<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>","2816560000 000","","187000 000","0.16683023","","","","","","","0","<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>","","","","0.410000","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h58m49.40s","1797058 532","-03d23m22.06s","-33894 613","15925900 000","160140 000","119330 000","152612 000","03.06.2019","2019-07","13.06.2019"
"EPIC 201238110 b","EPIC 201238110","0","CONFIRMED","Heller et al. 2019","1","1","Transit","2019","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","2816960000 000","","220000 000","0.20000000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.374000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h58m49.40s","1797058 532","-03d23m22.06s","-33894 613","15925900 000","160140 000","119330 000","152612 000","05.09.2019","2019-09","05.09.2019"
"EPIC 201238110.01","EPIC 201238110","1","CANDIDATE","Kruse et al. 2019","1","1","Transit","2016","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","790417000 000","","206000 000","0.18400000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.374000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h58m49.40s","1797058 532","-03d23m22.06s","-33894 613","15925900 000","160140 000","119330 000","152612 000","05.09.2019","2019-09","05.09.2019"
"EPIC 201238110.01","EPIC 201238110","0","CANDIDATE","Kruse et al. 2019","1","1","Transit","2016","K2","Published Candidate","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","790696060 000","","302000 000","0.26942635","","","","","","","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","","3772.00","0.520000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h58m49.40s","1797058 532","-03d23m22.06s","-33894 613","15925900 000","160140 000","119330 000","152612 000","05.12.2015","2016-01","05.12.2015"
"EPIC 201238163.01","EPIC 201238163","1","CANDIDATE","Vanderburg et al. 2016","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","108296140 000","","156000 000","0.13917388","","","","","","","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","","3875.00","0.560000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h33m03.07s","1732627 978","-03d23m19.39s","-33887 192","29940600 000","156570 000","122820 000","151848 000","05.12.2015","2016-01","05.12.2015"
"EPIC 201239401.01","EPIC 201239401","1","CANDIDATE","Kruse et al. 2019","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","0.90565500000","","157000 000","0.14000000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.576000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h32m12.69s","1730528 796","-03d22m13.16s","-33703 210","19007500 000","157310 000","117350 000","149247 000","05.09.2019","2019-09","05.09.2019"
"EPIC 201239401.01","EPIC 201239401","0","CANDIDATE","Kruse et al. 2019","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","0.90552205000","","152000 000","0.13560532","","","","","","","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","","3710.00","0.500000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h32m12.69s","1730528 796","-03d22m13.16s","-33703 210","19007500 000","157310 000","117350 000","149247 000","05.12.2015","2016-01","05.12.2015"
"EPIC 201247497.01","EPIC 201247497","0","CANDIDATE","Kruse et al. 2019","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","275411290 000","","487000 000","0.43447230","","","","","","","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","","3834.00","0.550000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h51m47.15s","1779464 521","-03d14m45.67s","-32460 183","79313100 000","173749 000","137480 000","167664 000","05.12.2015","2016-01","05.12.2015"
"EPIC 201247497.01","EPIC 201247497","1","CANDIDATE","Kruse et al. 2019","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","275421000 000","","840000 000","0.75000000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.890000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h51m47.15s","1779464 521","-03d14m45.67s","-32460 183","79313100 000","173749 000","137480 000","167664 000","05.09.2019","2019-09","05.09.2019"
"EPIC 201247497.01","EPIC 201247497","0","CANDIDATE","Kruse et al. 2019","1","0","Transit","2016","K2","Published Candidate","0","<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>","275391000 000","","378000 000","0.33700000","","","","","","","0","<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>","","3918.00","0.436000","","","","4846 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h51m47.15s","1779464 521","-03d14m45.67s","-32460 183","79313100 000","173749 000","137480 000","167664 000","18.07.2016","2016-09","18.07.2016"
"EPIC 201257461.01","EPIC 201257461","1","FALSE POSITIVE","Montet et al. 2015","1","0","Transit","2015","K2","Published Candidate","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","5028586900 000","","347000 000","0.30957266","","","","","","","0","<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>","","4859.00","0.740000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h52m38.67s","1781611 264","-03d05m41.67s","-30949 095","82924800 000","116680 000","93680 000","115044 000","05.12.2015","2016-01","05.12.2015"
"EPIC 201257461.01","EPIC 201257461","0","FALSE POSITIVE","Montet et al. 2015","1","0","Transit","2015","K2","Published Candidate","0","<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>","5027762000 000","","20952000 000","1869200 000","","","","","","1466.00","0","<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>","","5141.00","10960 000","","-0.2100","[Fe/H]","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h52m38.67s","1781611 264","-03d05m41.67s","-30949 095","82924800 000","116680 000","93680 000","115044 000","05.12.2015","2015-08","05.12.2015"
"EPIC 201258341.01","EPIC 201258341","1","CANDIDATE","Kruse et al. 2019","1","0","Transit","2019","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","1050439000 000","","175000 000","0.15600000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.878000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","11h54m45.74s","1786905 819","-03d04m58.15s","-30828 192","8494700 000","99960 000","81660 000","97827 100","05.09.2019","2019-09","05.09.2019"
