"pl_name","hostname","default_flag","disposition","disp_refname","sy_snum","sy_pnum","discoverymethod","disc_year","disc_facility","soltype","pl_controv_flag","pl_refname","pl_orbper","pl_orbsmax","pl_rade","pl_radj","pl_bmasse","pl_bmassj","pl_bmassprov","pl_orbeccen","pl_insol","pl_eqt","ttv_flag","st_refname","st_spectype","st_teff","st_rad","st_mass","st_met","st_metratio","st_logg","sy_refname","rastr","ra","decstr","dec","sy_dist","sy_vmag","sy_kmag","sy_gaiamag","rowupdate","pl_pubdate","releasedate"
"K2-273 b","K2-273","0","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Candidate","0","<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>","1172000000 000","","","","","","","","","","0","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","","5051.83","0.869680","0.843000","0.1790","[M/H]","4485 180","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","08h39m06.45s","1297768 928","+19d00m36.02s","190100 046","30810500 000","132460 000","113000 000","131461 000","18.07.2016","2016-10","18.07.2016"
"K2-273 b","K2-273","0","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Candidate","0","<a refstr=LIBRALATO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1780L/abstract target=ref>Libralato et al. 2016</a>","1172222800 000","","270000 000","0.24000000","","","","","","","0","<a refstr=LIBRALATO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1780L/abstract target=ref>Libralato et al. 2016</a>","","","0.799000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","08h39m06.45s","1297768 928","+19d00m36.02s","190100 046","30810500 000","132460 000","113000 000","131461 000","18.05.2017","2016-12","18.05.2017"
"K2-273 b","K2-273","0","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Candidate","0","<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>","1172210300 000","","280000 000","0.25000000","","","","","","","0","<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>","","5170.00","0.838000","","","","4556 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","08h39m06.45s","1297768 928","+19d00m36.02s","190100 046","30810500 000","132460 000","113000 000","131461 000","26.02.2019","2018-07","26.02.2019"
"K2-273 b","K2-273","1","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Confirmed","0","<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2-273 b","K2-273","0","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Confirmed","0","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>","1171633200 000","0.0974000000","442000 000","0.39432599","","","","","","672.00","0","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>","","5200.00","0.840000","0.900000","0.2000","[Fe/H]","4550 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","08h39m06.45s","1297768 928","+19d00m36.02s","190100 046","30810500 000","132460 000","113000 000","131461 000","24.10.2018","2018-12","26.10.2018"
"K2-273 b","K2-273","0","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","1171885000 000","","334000 000","0.29800000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.872000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","08h39m06.45s","1297768 928","+19d00m36.02s","190100 046","30810500 000","132460 000","113000 000","131461 000","05.09.2019","2019-09","05.09.2019"
"K2-273 b","K2-273","0","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Candidate","0","<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>","1171660300 000","","420000 000","0.37000000","","","","","","","0","<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>","","","0.860000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","08h39m06.45s","1297768 928","+19d00m36.02s","190100 046","30810500 000","132460 000","113000 000","131461 000","14.12.2017","2018-01","14.12.2017"
"K2-274 b","K2-274","0","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Candidate","0","<a refstr=LIBRALATO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1780L/abstract target=ref>Libralato et al. 2016</a>","1413014200 000","","241000 000","0.21500000","","","","","","","0","<a refstr=LIBRALATO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1780L/abstract target=ref>Libralato et al. 2016</a>","","","0.794000","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","08h37m07.77s","1292823 699","+20d23m57.30s","203992 512","22832700 000","131810 000","109860 000","128852 000","18.05.2017","2016-12","18.05.2017"
"K2-274 b","K2-274","0","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Candidate","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","1413342700 000","","232120 418","0.21000000","","","","","","","0","<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>","","5098.00","0.747608","","-0.1500","[Fe/H]","4700 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","08h37m07.77s","1292823 699","+20d23m57.30s","203992 512","22832700 000","131810 000","109860 000","128852 000","15.02.2018","2018-03","15.02.2018"
"K2-274 b","K2-274","1","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Confirmed","0","<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.1075C/abstract target=ref>Castro-Gonz&aacute","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2-274 b","K2-274","0","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Candidate","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","1413168000 000","","218000 000","0.19400000","","","","","","","0","<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>","","","0.720900","","","","","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","08h37m07.77s","1292823 699","+20d23m57.30s","203992 512","22832700 000","131810 000","109860 000","128852 000","05.09.2019","2019-09","05.09.2019"
"K2-274 b","K2-274","0","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Candidate","0","<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>","1411544241 000","","","","","","","","","","0","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","","5024.37","0.734473","0.840000","-0.1328","[M/H]","4630 400","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","08h37m07.77s","1292823 699","+20d23m57.30s","203992 512","22832700 000","131810 000","109860 000","128852 000","21.12.2016","2016-10","21.12.2016"
"K2-274 b","K2-274","0","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Confirmed","0","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>","1412971400 000","0.1064000000","220000 000","0.19627085","","","","","","589.00","0","<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>","","5065.00","0.740000","0.810000","-0.1300","[Fe/H]","4610 000","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","08h37m07.77s","1292823 699","+20d23m57.30s","203992 512","22832700 000","131810 000","109860 000","128852 000","24.10.2018","2018-12","26.10.2018"
"K2-274 b","K2-274","0","CONFIRMED","Livingston et al. 2018","1","1","Transit","2018","K2","Published Candidate","0","<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>","1412900000 000","","","","","","","","","","0","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","","5024.37","0.734473","0.840000","-0.1328","[M/H]","4630 400","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","08h37m07.77s","1292823 699","+20d23m57.30s","203992 512","22832700 000","131810 000","109860 000","128852 000","18.07.2016","2016-10","18.07.2016"
