"kepid","kepoi_name","kepler_name","koi_disposition","koi_pdisposition","koi_score","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_slogg","koi_srad","ra","dec","koi_kepmag"
"9899233","K04090.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","1","1332547 503","1320576 700","0.7460","452 100","1.30E+6","Jan.23","1719.0","2062.92","25.50","1","q1_q17_dr25_tce","6077.00","4.471","0.9990","295166 960","46754 341","15.164"
"3103227","K04091.01","Kepler-1550 b","CONFIRMED","CANDIDATE","0.9580","0","0","0","0","225585245 000","2727956 600","0.0660","1116 600","7.55E+6","Mar.71","348.0","Mar.48","18.60","1","q1_q17_dr25_tce","5929.00","4.243","Jan.30","287764 560","38294 701","14.900"
"4850961","K04092.01","Kepler-1551 b","CONFIRMED","CANDIDATE","0.9660","0","0","0","0","24497268 300","1339217 700","0.8170","543 000","4.49E+6","Feb.74","722.0","64.25","19.50","1","q1_q17_dr25_tce","6392.00","4.399","1.1620","295785 520","39907 921","15.152"
"3102309","K07643.01","","FALSE POSITIVE","FALSE POSITIVE","0.0970","1","0","0","0","4202538 590","1323097 000","0.9370","538 900","3.15E+5","0.71","1136.0","394.08","Aug.80","1","q1_q17_dr25_tce","5596.00","4.343","1.0150","287455 320","38239 590","13.598"
"8521059","K04093.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","1","1","0","0.535578808","1318080 500","Jan.50","179 730","1.94E+6","33.97","2870.0","16161.27","38.30","1","q1_q17_dr25_tce","6610.00","4.264","Jan.30","299750 210","44561 981","13.940"
"5217574","K04151.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","0","0.894863170","1322176 700","0.6500","265 700","1.72E+6","Jan.19","1764.0","2296.25","16.Oct","1","q1_q17_dr25_tce","5764.00","4.548","0.8630","298900 120","40303 589","15.863"
"7199060","K04152.01","","CANDIDATE","CANDIDATE","0.9690","0","0","0","0","64186226 400","1916563 900","0.9680","848 500","5.07E+6","Aug.00","839.0","116.97","18.60","1","q1_q17_dr25_tce","6951.00","3.766","Feb.80","291386 020","42709 129","12.972"
"8439323","K04153.01","Kepler-1942 b","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","4626028 670","1346809 200","0.7390","0.64300","3.47E+6","Jan.65","1012.0","247.34","14.70","1","q1_q17_dr25_tce","5834.00","4.566","0.7970","294980 590","44425 301","14.667"
"4458082","K02303.02","Kepler-1181 c","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","8934848 870","1333910 800","0.8880","257 900","1.36E+6","Jan.83","1124.0","377.25","Sep.70","2","q1_q17_dr25_tce","6688.00","4.304","Jan.70","289747 310","39523 453","13.827"
"3230095","K07647.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","1","7047161 750","1327504 000","0.8560","269 300","1.51E+6","01.Oct","817.0","105.10","Sep.40","1","q1_q17_dr25_tce","5496.00","4.592","0.7760","290083 100","38398 472","15.130"
